reseau,agence,agence_ville,agence_cp,ville_cible,cp_cible,population,distance_km
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Abbeville,80100,22395,2.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Buigny-Saint-Maclou,80132,514,2.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Drucat,80132,887,2.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Caours,80132,548,3.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Grand-Laviers,80132,465,3.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Hautvillers-Ouville,80132,527,4.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neufmoulin,80132,368,5.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vauchelles-les-Quesnoy,80132,815,5.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cambron,80132,740,5.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neuilly-l'Hôpital,80132,334,5.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Millencourt-en-Ponthieu,80135,337,5.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Yonval,80132,243,5.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Port-le-Grand,80132,268,6.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Épagne-Épagnette,80580,510,6.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Lamotte-Buleux,80150,328,6.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mareuil-Caubert,80132,840,6.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bellancourt,80132,494,6.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Le Titre,80132,332,6.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Canchy,80150,348,7.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Sailly-Flibeaucourt,80970,991,7.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Eaucourt-sur-Somme,80580,357,7.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cahon,80132,222,7.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saint-Riquier,80135,1279,7.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Forest-l'Abbaye,80150,314,8.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Agenvillers,80150,215,8.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saigneville,80230,344,8.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Moyenneville,80870,693,8.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Buigny-l'Abbé,80132,341,8.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bray-lès-Mareuil,80580,249,8.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Domvast,80150,333,9.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Huchenneville,80132,679,9.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Miannay,80132,604,9.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Pont-Remy,80580,1438,9.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Gapennes,80150,270,9.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Érondelle,80580,504,10.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Francières,80690,176,10.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Nouvion,80860,1196,10.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Noyelles-sur-Mer,80860,636,10.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Béhen,80870,500,10.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Oneux,80135,434,10.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Quesnoy-le-Montant,80132,514,10.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Tœufles,80870,308,11.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bussus-lès-Yaucourt,80135,556,11.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bailleul,80490,253,11.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Boismont,80230,441,11.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Liercourt,80580,327,11.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cocquerel,80510,220,11.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mons-Boubert,80210,585,12.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Yvrencheux,80150,130,12.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Crécy-en-Ponthieu,80150,1376,12.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Froyelles,80150,96,12.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ercourt,80210,132,12.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Huppy,80140,749,12.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Limeux,80490,142,12.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ailly-le-Haut-Clocher,80690,1024,12.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Coulonvillers,80135,214,13.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Fontaine-sur-Maye,80150,162,13.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Maison-Roland,80135,97,13.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ponthoile,80860,563,13.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Acheux-en-Vimeu,80210,501,13.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Brailly-Cornehotte,80150,211,13.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Franleu,80210,501,13.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Fontaine-sur-Somme,80510,502,14.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Noyelles-en-Chaussée,80150,242,14.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Forest-Montiers,80120,382,14.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Sorel-en-Vimeu,80490,235,14.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Grébault-Mesnil,80140,204,14.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Yvrench,80150,296,14.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Long,80510,590,14.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Frucourt,80490,121,14.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ergnies,80690,159,14.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Villers-sous-Ailly,80690,167,15.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Tours-en-Vimeu,80210,805,15.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Arrest,80820,820,15.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Chépy,80210,1190,15.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Doudelainville,80140,363,15.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Estrébœuf,80230,244,15.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Hallencourt,80490,1351,15.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cramont,80370,304,15.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Domqueur,80620,308,15.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saint-Valery-sur-Somme,80230,2306,15.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Valines,80210,655,15.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bernay-en-Ponthieu,80120,240,15.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Machiel,80150,151,16.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Estrées-lès-Crécy,80150,398,16.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mesnil-Domqueur,80620,88,16.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vaux-Marquenneville,80140,79,16.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Machy,80150,117,16.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Longpré-les-Corps-Saints,80510,1500,16.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ochancourt,80210,322,16.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Gorenflos,80690,234,16.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Favières,80120,453,16.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saint-Maxent,80140,390,16.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Citerne,80490,240,16.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bouchon,80830,158,17.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Gueschart,80150,361,17.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Brucamps,80690,155,17.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Martainneville,80140,410,17.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Fresnes-Tilloloy,80140,211,17.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Conteville,80370,210,17.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Maison-Ponthieu,80150,280,17.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mérélessart,80490,183,17.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Regnière-Écluse,80120,139,18.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vauchelles-lès-Domart,80620,120,18.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Le Boisle,80150,329,18.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Domléger-Longvillers,80370,287,18.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Ligescourt,80150,223,18.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Pendé,80230,1025,18.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Nibas,80390,828,18.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Feuquières-en-Vimeu,80210,2414,18.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bettencourt-Rivière,80270,209,18.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,L'Étoile,80830,1128,18.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neuville-au-Bois,80140,144,18.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vismes,80140,474,18.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Hiermont,80370,150,18.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mouflers,80690,96,18.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neuilly-le-Dien,80150,106,18.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Fransu,80620,193,18.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Arry,80120,212,18.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vironchaux,80150,503,18.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cerisy-Buleux,80140,278,18.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Forceville-en-Vimeu,80140,226,18.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Aigneville,80210,904,19.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Woirel,80140,46,19.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Franqueville,80620,163,19.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Dompierre-sur-Authie,80150,417,19.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saint-Blimont,80960,883,19.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Surcamps,80620,84,19.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Allery,80270,843,19.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Boufflers,80150,113,19.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Condé-Folie,80890,865,19.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Wiry-au-Mont,80270,103,19.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Airaines,80270,2204,19.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Beaumetz,80370,215,19.8
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Biencourt,80140,137,19.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Le Crotoy,80550,1958,19.9
TransakAuto,Agence AGEN,Layrac,47390,Layrac,47390,4010,1.7
TransakAuto,Agence AGEN,Layrac,47390,Fals,47220,403,2.8
TransakAuto,Agence AGEN,Layrac,47390,Moirax,47310,1197,5.0
TransakAuto,Agence AGEN,Layrac,47390,Astaffort,47220,1972,5.2
TransakAuto,Agence AGEN,Layrac,47390,Cuq,47220,278,5.5
TransakAuto,Agence AGEN,Layrac,47390,Marmont-Pachas,47220,157,5.8
TransakAuto,Agence AGEN,Layrac,47390,Sauveterre-Saint-Denis,47220,387,5.8
TransakAuto,Agence AGEN,Layrac,47390,Boé,47550,5846,6.9
TransakAuto,Agence AGEN,Layrac,47390,Caudecoste,47220,1127,7.2
TransakAuto,Agence AGEN,Layrac,47390,Lafox,47240,1098,7.2
TransakAuto,Agence AGEN,Layrac,47390,Pergain-Taillac,32700,336,7.6
TransakAuto,Agence AGEN,Layrac,47390,Aubiac,47310,1174,7.8
TransakAuto,Agence AGEN,Layrac,47390,Saint-Jean-de-Thurac,47270,563,8.5
TransakAuto,Agence AGEN,Layrac,47390,Saint-Nicolas-de-la-Balerme,47220,424,8.5
TransakAuto,Agence AGEN,Layrac,47390,Gimbrède,32340,295,9.2
TransakAuto,Agence AGEN,Layrac,47390,Estillac,47310,2463,9.5
TransakAuto,Agence AGEN,Layrac,47390,Sempesserre,32700,323,9.7
TransakAuto,Agence AGEN,Layrac,47390,Laplume,47310,1330,9.8
TransakAuto,Agence AGEN,Layrac,47390,Dunes,82340,1226,9.8
TransakAuto,Agence AGEN,Layrac,47390,Castelculier,47240,2382,10.0
TransakAuto,Agence AGEN,Layrac,47390,Saint-Sixte,47220,363,10.1
TransakAuto,Agence AGEN,Layrac,47390,Saint-Mézard,32700,240,10.5
TransakAuto,Agence AGEN,Layrac,47390,Agen,47000,32801,10.6
TransakAuto,Agence AGEN,Layrac,47390,Lamontjoie,47310,553,10.6
TransakAuto,Agence AGEN,Layrac,47390,Roquefort,47310,2078,10.6
TransakAuto,Agence AGEN,Layrac,47390,Le Passage,47520,9326,10.7
TransakAuto,Agence AGEN,Layrac,47390,Saint-Romain-le-Noble,47270,412,10.9
TransakAuto,Agence AGEN,Layrac,47390,Saint-Pierre-de-Clairac,47270,899,11.2
TransakAuto,Agence AGEN,Layrac,47390,Bon-Encontre,47240,6530,11.6
TransakAuto,Agence AGEN,Layrac,47390,Sistels,82340,210,11.9
TransakAuto,Agence AGEN,Layrac,47390,Sainte-Mère,32700,200,12.1
TransakAuto,Agence AGEN,Layrac,47390,Saint-Vincent-de-Lamontjoie,47310,223,12.5
TransakAuto,Agence AGEN,Layrac,47390,Donzac,82340,1042,12.8
TransakAuto,Agence AGEN,Layrac,47390,Brax,47310,2098,12.9
TransakAuto,Agence AGEN,Layrac,47390,Pouy-Roquelaure,32480,114,13.3
TransakAuto,Agence AGEN,Layrac,47390,Lamagistère,82360,1218,13.4
TransakAuto,Agence AGEN,Layrac,47390,Castéra-Lectourois,32700,329,13.5
TransakAuto,Agence AGEN,Layrac,47390,Saint-Martin-de-Goyne,32480,129,13.5
TransakAuto,Agence AGEN,Layrac,47390,Moncaut,47310,589,13.5
TransakAuto,Agence AGEN,Layrac,47390,Berrac,32480,110,13.9
TransakAuto,Agence AGEN,Layrac,47390,Saint-Avit-Frandat,32700,97,14.0
TransakAuto,Agence AGEN,Layrac,47390,Saint-Caprais-de-Lerm,47270,713,14.2
TransakAuto,Agence AGEN,Layrac,47390,Sainte-Colombe-en-Bruilhois,47310,1546,14.3
TransakAuto,Agence AGEN,Layrac,47390,Flamarens,32340,133,14.4
TransakAuto,Agence AGEN,Layrac,47390,Miradoux,32340,530,14.5
TransakAuto,Agence AGEN,Layrac,47390,Pont-du-Casse,47480,4191,14.8
TransakAuto,Agence AGEN,Layrac,47390,Clermont-Soubiran,47270,395,15.1
TransakAuto,Agence AGEN,Layrac,47390,Nomdieu,47600,256,15.1
TransakAuto,Agence AGEN,Layrac,47390,Castet-Arrouy,32340,168,15.2
TransakAuto,Agence AGEN,Layrac,47390,Puymirol,47270,899,15.2
TransakAuto,Agence AGEN,Layrac,47390,Saint-Urcisse,47270,242,15.2
TransakAuto,Agence AGEN,Layrac,47390,Saint-Cirice,82340,157,15.3
TransakAuto,Agence AGEN,Layrac,47390,Larroque-Engalin,32480,44,15.8
TransakAuto,Agence AGEN,Layrac,47390,Saint-Antoine,32340,194,15.8
TransakAuto,Agence AGEN,Layrac,47390,Ligardes,32480,208,16.0
TransakAuto,Agence AGEN,Layrac,47390,Golfech,82400,1007,16.0
TransakAuto,Agence AGEN,Layrac,47390,Saint-Loup,82340,531,16.1
TransakAuto,Agence AGEN,Layrac,47390,Colayrac-Saint-Cirq,47450,3095,16.2
TransakAuto,Agence AGEN,Layrac,47390,Saumont,47600,240,16.3
TransakAuto,Agence AGEN,Layrac,47390,Foulayronnes,47510,5476,16.5
TransakAuto,Agence AGEN,Layrac,47390,Sauvagnas,47340,519,16.8
TransakAuto,Agence AGEN,Layrac,47390,Bajamont,47480,1034,16.9
TransakAuto,Agence AGEN,Layrac,47390,Lagarde,32700,123,17.0
TransakAuto,Agence AGEN,Layrac,47390,Grayssas,47270,150,17.1
TransakAuto,Agence AGEN,Layrac,47390,Peyrecave,32340,70,17.3
TransakAuto,Agence AGEN,Layrac,47390,Sérignac-sur-Garonne,47310,1182,17.4
TransakAuto,Agence AGEN,Layrac,47390,Montagnac-sur-Auvignon,47600,641,17.5
TransakAuto,Agence AGEN,Layrac,47390,La Sauvetat-de-Savères,47270,479,17.8
TransakAuto,Agence AGEN,Layrac,47390,Lectoure,32700,3670,18.1
TransakAuto,Agence AGEN,Layrac,47390,Tayrac,47270,381,18.1
TransakAuto,Agence AGEN,Layrac,47390,Gazaupouy,32480,252,18.2
TransakAuto,Agence AGEN,Layrac,47390,La Romieu,32480,540,18.3
TransakAuto,Agence AGEN,Layrac,47390,Saint-Hilaire-de-Lusignan,47450,1501,18.3
TransakAuto,Agence AGEN,Layrac,47390,Mansonville,82120,310,18.4
TransakAuto,Agence AGEN,Layrac,47390,Plieux,32340,159,18.7
TransakAuto,Agence AGEN,Layrac,47390,Saint-Martin-de-Beauville,47270,154,18.8
TransakAuto,Agence AGEN,Layrac,47390,Francescas,47600,750,18.9
TransakAuto,Agence AGEN,Layrac,47390,Auvillar,82340,895,18.9
TransakAuto,Agence AGEN,Layrac,47390,Fieux,47600,323,19.1
TransakAuto,Agence AGEN,Layrac,47390,Saint-Robert,47340,190,19.1
TransakAuto,Agence AGEN,Layrac,47390,Calignac,47600,495,19.4
TransakAuto,Agence AGEN,Layrac,47390,Perville,82400,165,19.4
TransakAuto,Agence AGEN,Layrac,47390,Madaillan,47360,648,19.7
TransakAuto,Agence AGEN,Layrac,47390,Valence,82400,5289,19.7
TransakAuto,Agence AGEN,Layrac,47390,Montesquieu,47130,733,19.8
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Venelles,13770,8418,2.2
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Saint-Marc-Jaumegarde,13100,1273,5.2
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Meyrargues,13650,3847,6.1
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Le Puy-Sainte-Réparade,13610,5935,7.7
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Le Tholonet,13100,2391,7.9
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Aix-en-Provence,13080,149695,9.1
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Peyrolles-en-Provence,13860,5409,9.3
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Beaurecueil,13100,585,9.7
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Meyreuil,13590,6747,11.4
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Vauvenargues,13126,1058,12.2
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Saint-Antonin-sur-Bayon,13100,126,12.6
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Pertuis,84120,19548,12.6
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Éguilles,13510,8479,12.8
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Rognes,13840,4693,13.0
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Saint-Cannat,13760,6097,13.4
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Saint-Estève-Janson,13610,357,13.4
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Châteauneuf-le-Rouge,13790,2376,13.5
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Villelaure,84530,3398,13.6
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,La Bastidonne,84120,929,14.3
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Gardanne,13120,21597,14.5
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Ventabren,13122,5839,14.5
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Jouques,13490,4547,15.7
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,La Tour-d'Aigues,84240,4405,15.8
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Fuveau,13710,10337,16.0
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Ansouis,84240,1064,16.1
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Rousset,13790,5425,16.4
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Bouc-Bel-Air,13320,15381,16.8
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Cadenet,84160,4363,17.2
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Puyloubier,13114,1768,17.7
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Coudoux,13111,3825,17.9
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Cabriès,13480,10240,18.2
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,La Roque-d'Anthéron,13640,5459,19.0
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Mirabeau,84120,1450,19.0
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Sannes,84240,290,19.0
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Gréasque,13850,4554,19.1
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Simiane-Collongue,13109,5780,19.5
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Mimet,13105,4241,19.7
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Velaux,13880,8941,19.8
TransakAuto,Agence AIX EN PROVENCE NORD,Venelles,13770,Lambesc,13410,10024,19.9
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Cabriès,13480,10240,4.6
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Bouc-Bel-Air,13320,15381,5.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Aix-en-Provence,13080,149695,5.5
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Ventabren,13122,5839,8.8
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Gardanne,13120,21597,9.1
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Simiane-Collongue,13109,5780,9.2
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Meyreuil,13590,6747,9.7
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Éguilles,13510,8479,10.1
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Vitrolles,13127,36758,10.1
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Septèmes-les-Vallons,13240,11995,10.5
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Les Pennes-Mirabeau,13170,22537,10.7
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Le Tholonet,13100,2391,10.8
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Velaux,13880,8941,11.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Rognac,13340,12576,11.9
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Mimet,13105,4241,12.8
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Coudoux,13111,3825,12.8
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Saint-Victoret,13730,6730,13.3
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Saint-Marc-Jaumegarde,13100,1273,13.7
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Beaurecueil,13100,585,14.1
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Fuveau,13710,10337,14.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Marignane,13700,33692,15.0
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Gréasque,13850,4554,15.2
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Châteauneuf-le-Rouge,13790,2376,15.3
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Plan-de-Cuques,13380,11632,15.3
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Saint-Cannat,13760,6097,15.3
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Venelles,13770,8418,15.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Saint-Savournin,13119,3397,15.5
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Cadolive,13950,2236,15.9
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,La Fare-les-Oliviers,13580,9039,15.9
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Gignac-la-Nerthe,13180,10343,16.2
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Le Rove,13740,5246,17.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Berre-l'Étang,13130,13832,17.8
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Saint-Antonin-sur-Bayon,13100,126,17.9
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Belcodène,13720,2009,18.0
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Allauch,13190,21443,18.3
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Le Puy-Sainte-Réparade,13610,5935,19.1
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Lançon-Provence,13680,9915,19.2
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Peypin,13124,5771,19.2
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Rousset,13790,5425,19.4
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,Meyrargues,13650,3847,19.5
TransakAuto,Agence AIX EN PROVENCE SUD,Aix-en-Provence,13290,La Barben,13330,868,19.9
