ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Wissous,91320,7151,0.2,TransakAuto,Agence WISSOUS,9
Balaruc-les-Bains,34540,7139,4.6,AgenceAuto,sete,3
La Talaudière,42350,7133,2.4,TransakAuto,Agence SAINT ETIENNE,3
Eyguières,13430,7119,10.2,Simplicicar,salon,1
Guingamp,22200,7111,15.4,TransakAuto,Agence BEGARD,1
Viriat,01440,7102,4.6,TransakAuto,Agence BOURG-EN-BRESSE,2
Pont-Saint-Martin,44860,7093,2.6,AgenceAuto,nantes-sud-est,2
Auby,59950,7083,5.0,TransakAuto,Agence DOUAI,4
Aulnoy-lez-Valenciennes,59300,7080,4.3,AgenceAuto,valenciennes,2
Villemandeur,45700,7078,5.7,TransakAuto,Agence MONTARGIS,1
Notre-Dame-de-Bondeville,76960,7071,4.1,TransakAuto,Agence ROUEN,2
Grandchamp-des-Fontaines,44119,7062,15.3,TransakAuto,Agence NANTES NORD,1
Leforest,62790,7060,7.8,TransakAuto,Agence DOUAI,4
Barr,67140,7057,16.8,AgenceAuto,selestat,1
Manduel,30129,7044,8.9,AgenceAuto,nimes,4
Binic-Étables-sur-Mer,22520,7041,14.5,AgenceAuto,saint-brieuc,2
Jurançon,64110,7040,4.7,TransakAuto,Agence PAU,2
Épône,78680,7031,2.1,AgenceAuto,epone,4
Uckange,57270,7021,10.8,TransakAuto,Agence THIONVILLE,3
Sathonay-Camp,69580,7019,0.5,AgenceAuto,lyon-nord,9
Saint-André-des-Eaux,44117,7013,3.3,TransakAuto,Agence SAINT-NAZAIRE,1
Trévoux,01600,7013,6.7,Simplicicar,lyon-nord,5
Soultz-Haut-Rhin,68360,7012,18.3,AgenceAuto,mulhouse-sud,2
Sainte-Adresse,76310,7004,8.8,TransakAuto,Agence LE HAVRE,1
Castelnau-d'Estrétefonds,31620,7003,6.6,TransakAuto,Agence FRONTON,2
Saint-Rambert-d'Albon,26140,7001,11.2,TransakAuto,Agence DAVEZIEUX,1
Marsillargues,34590,6988,7.5,TransakAuto,Agence LUNEL,3
Étréchy,91580,6986,5.2,TransakAuto,Agence ETAMPES,1
Saint-Bonnet-de-Mure,69720,6984,5.6,Simplicicar,st-priest,8
Bailly-Romainvilliers,77700,6980,5.4,AgenceAuto,chessy,4
Bétheny,51450,6975,3.2,TransakAuto,Agence REIMS,2
Valognes,50700,6969,16.8,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Fontaines-sur-Saône,69270,6957,2.3,AgenceAuto,lyon-nord,9
Cognin,73160,6954,4.2,Simplicicar,aix-les-bains,2
Luisant,28600,6945,0.7,TransakAuto,Agence CHARTRES,1
Houdain,62150,6945,5.3,TransakAuto,Agence BETHUNE,1
Saint-Pol-de-Léon,29250,6941,15.4,TransakAuto,Agence MORLAIX,1
Plédran,22960,6933,6.8,AgenceAuto,saint-brieuc,3
Bourbourg,59630,6931,12.3,TransakAuto,Agence DUNKERQUE,3
Sénas,13560,6925,12.4,Simplicicar,salon,1
Escalquens,31750,6924,4.9,AgenceAuto,toulouse-sud-est-labege,6
Jacou,34830,6924,5.0,AgenceAuto,montpellier-est,4
Lésigny,77150,6923,5.7,TransakAuto,Agence BRIE-COMTE-ROBERT,10
Lucciana,20290,6923,13.9,TransakAuto,Agence BASTIA,1
Changé,72560,6911,8.4,TransakAuto,Agence LE MANS,1
Cadaujac,33140,6909,1.2,TransakAuto,Agence CADAUJAC,6
Trans-en-Provence,83720,6905,5.0,TransakAuto,Agence DRAGUIGNAN,1
Montluel,01120,6895,10.8,TransakAuto,Agence LYON EST,8
Saint-Maurice-l'Exil,38550,6889,16.4,TransakAuto,Agence DAVEZIEUX,3
Castries,34160,6883,2.3,AgenceAuto,montpellier-est,4
Acigné,35690,6874,14.0,AgenceAuto,rennes-nord,2
Carnoux-en-Provence,13470,6873,5.8,Simplicicar,la-ciotat,1
Veigné,37250,6865,2.3,Simplicicar,tours,3
Auvers-sur-Oise,95430,6863,3.5,TransakAuto,Agence CERGY,6
Le Controis-en-Sologne,41120,6860,19.4,TransakAuto,Agence BLOIS,1
Noyelles-sous-Lens,62221,6854,3.9,TransakAuto,Agence LENS,6
Lutterbach,68460,6851,3.1,AgenceAuto,mulhouse-sud,2
Le Coteau,42120,6845,5.7,TransakAuto,Agence ROANNE,1
Domène,38420,6835,8.7,TransakAuto,Agence GRENOBLE EST,3
Laudun-l'Ardoise,30290,6835,13.2,TransakAuto,Agence ORANGE,1
Chabeuil,26120,6833,6.1,TransakAuto,Agence VALENCE,3
Saint-Thibault-des-Vignes,77400,6831,4.3,TransakAuto,Agence CHELLES,8
Les Essarts-le-Roi,78690,6831,11.5,TransakAuto,Agence RAMBOUILLET,2
Montfort-sur-Meu,35160,6810,18.0,Simplicicar,rennes,3
Quesnoy-sur-Deûle,59890,6805,4.7,TransakAuto,Agence LILLE,6
Caussade,82300,6803,9.8,AgenceAuto,montauban,1
Loos-en-Gohelle,62750,6799,4.9,TransakAuto,Agence LENS,4
Poussan,34560,6797,3.1,TransakAuto,Agence SETE,4
Beuvrages,59192,6796,2.3,TransakAuto,Agence VALENCIENNES,2
Douvaine,74140,6796,9.1,TransakAuto,Agence THONON-LES-BAINS,3
Ploeren,56880,6790,5.5,AgenceAuto,vannes,3
Liancourt,60140,6785,10.1,TransakAuto,Agence SAINT MAXIMIN,3
Brindas,69126,6775,5.6,TransakAuto,Agence LYON OUEST,7
Divion,62460,6766,5.7,TransakAuto,Agence BETHUNE,1
Puilboreau,17138,6765,4.1,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Saint-Julien-les-Villas,10800,6760,7.1,AgenceAuto,troyes,3
Merville,31330,6760,10.3,Simplicicar,toulouse-nord,5
Cambo-les-Bains,64250,6760,15.7,AgenceAuto,biarritz-bab,3
Plouguerneau,29880,6755,19.8,TransakAuto,Agence BREST,1
Moëlan-sur-Mer,29350,6749,17.8,Simplicicar,lorient,1
Meyreuil,13590,6747,9.7,TransakAuto,Agence AIX EN PROVENCE SUD,3
Gaillon,27600,6746,11.7,Simplicicar,vernon,2
Itteville,91760,6746,15.8,TransakAuto,Agence ETAMPES,1
Saint-Alban-Leysse,73230,6734,5.4,TransakAuto,Agence CHAMBERY,2
Saulx-les-Chartreux,91160,6733,2.9,AgenceAuto,palaiseau,6
Saint-Victoret,13730,6730,1.6,Simplicicar,marignane,3
Le Péage-de-Roussillon,38550,6718,14.7,TransakAuto,Agence DAVEZIEUX,2
Othis,77280,6717,6.5,TransakAuto,Agence DAMMARTIN EN GOELE,1
Feignies,59750,6703,3.1,TransakAuto,Agence MAUBEUGE,1
Vigneux-de-Bretagne,44360,6692,11.5,TransakAuto,Agence NANTES NORD,1
Vallons-de-l'Erdre,44540,6692,15.7,TransakAuto,Agence ANCENIS,1
Inzinzac-Lochrist,56650,6691,14.9,Simplicicar,lorient,2
Fronton,31620,6671,6.2,TransakAuto,Agence FRONTON,3
Meung-sur-Loire,45130,6670,13.8,Simplicicar,orleans,1
Montech,82700,6663,8.2,TransakAuto,Agence MONTAUBAN,2
Cassis,13260,6661,4.1,Simplicicar,la-ciotat,1
Chalonnes-sur-Loire,49290,6659,16.9,Simplicicar,angers,1
Thônes,74230,6654,19.0,Simplicicar,annecy,2
Châtelaillon-Plage,17340,6653,11.5,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Elven,56250,6651,12.0,TransakAuto,Agence VANNES,3
Gignac,34150,6651,20.0,TransakAuto,Agence SETE,1
La Bassée,59480,6650,13.2,TransakAuto,Agence LENS,4
Grenay,62160,6644,6.4,TransakAuto,Agence LENS,4
Honfleur,14600,6640,12.0,TransakAuto,Agence LE HAVRE,2
Gigean,34770,6639,2.0,TransakAuto,Agence SETE,4
Laneuveville-devant-Nancy,54410,6630,4.4,AgenceAuto,nancy,3
Lentilly,69210,6623,3.7,TransakAuto,Agence CALUIRE-ET-CUIRE,8
Sury-le-Comtal,42450,6621,8.0,Simplicicar,moto-veauche,3
Canohès,66680,6616,7.7,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,2
Loriol-sur-Drôme,26270,6614,17.2,TransakAuto,Agence VALENCE,1
La Penne-sur-Huveaune,13821,6605,9.8,Simplicicar,la-ciotat,1
Bouffémont,95570,6593,2.5,AgenceAuto,la-croix-verte,7
Ceyrat,63122,6592,4.1,TransakAuto,Agence CLERMONT FERRAND SUD,1
Chasse-sur-Rhône,38670,6588,6.0,Simplicicar,vienne,7
Furiani,20600,6585,1.8,TransakAuto,Agence BASTIA,1
Labarthe-sur-Lèze,31860,6585,3.6,Simplicicar,toulouse-sud,4
Labruguière,81290,6584,12.5,TransakAuto,Agence CASTRES,1
Bouchemaine,49080,6580,4.2,Simplicicar,angers,3
Gémenos,13420,6579,10.2,Simplicicar,la-ciotat,1
Longuenée-en-Anjou,49220,6571,10.2,Simplicicar,angers,3
Thoiry,01710,6569,4.6,TransakAuto,Agence GEX,2
Le Lorrain,97214,6566,19.8,AgenceAuto,martinique,1
Saint-Juéry,81160,6564,7.6,TransakAuto,Agence ALBI,1
Longué-Jumelles,49160,6564,18.6,TransakAuto,Agence SAUMUR,1
Saint-Jean-Bonnefonds,42650,6563,3.3,TransakAuto,Agence SAINT ETIENNE,3
Champigneulles,54250,6551,9.4,Simplicicar,nancy,3
Eaunes,31600,6539,2.3,TransakAuto,Agence EAUNES,3
La Chevrolière,44118,6539,4.6,AgenceAuto,nantes-sud-est,2
Marange-Silvange,57535,6539,8.3,TransakAuto,Agence SAINT-DIZIER,2
L'Arbresle,69210,6537,8.1,TransakAuto,Agence CALUIRE-ET-CUIRE,3
Saint-Alban,31140,6534,1.6,Simplicicar,toulouse-nord,6
La Mulatière,69350,6534,3.1,TransakAuto,Agence LYON OUEST,9
Cormontreuil,51350,6534,6.6,Simplicicar,reims,2
Ondres,40440,6533,6.9,TransakAuto,Agence CAPBRETON,4
Bon-Encontre,47240,6530,11.6,TransakAuto,Agence AGEN,1
Neuves-Maisons,54230,6524,5.3,TransakAuto,Agence NANCY,3
Chatuzange-le-Goubet,26300,6523,5.3,TransakAuto,Agence ROMANS SUR ISERE,3
Ploudalmézeau,29830,6522,19.6,TransakAuto,Agence BREST,1
Limours,91470,6517,14.8,AgenceAuto,palaiseau,3
Marignier,74970,6507,7.7,TransakAuto,Agence SALLANCHES,3
Les Trois-Îlets,97229,6507,11.0,AgenceAuto,martinique,1
La Montagne,44620,6505,5.2,TransakAuto,Agence NANTES NORD,2
Changé,53810,6502,5.6,TransakAuto,Agence LAVAL,1
Gouesnou,29850,6501,2.0,TransakAuto,Agence BREST,3
Eu,76260,6499,4.0,TransakAuto,"Agence MONS, BELGIQUE",1
Champagne-sur-Seine,77430,6497,4.8,TransakAuto,Agence FONTAINEBLEAU,1
Calvisson,30420,6486,10.6,Simplicicar,vauvert,5
Longpont-sur-Orge,91310,6482,8.4,AgenceAuto,palaiseau,4
Villers-Saint-Paul,60870,6480,6.0,TransakAuto,Agence SAINT MAXIMIN,3
Le Perray-en-Yvelines,78610,6480,8.7,TransakAuto,Agence RAMBOUILLET,2
Saint-Pathus,77178,6479,3.6,TransakAuto,Agence DAMMARTIN EN GOELE,2
Grézieu-la-Varenne,69290,6472,7.7,TransakAuto,Agence LYON OUEST,7
Saint-Priest-en-Jarez,42270,6471,3.0,TransakAuto,Agence SAINT ETIENNE,3
Vezin-le-Coquet,35132,6471,5.4,AgenceAuto,rennes-nord,3
Cuincy,59553,6467,0.7,TransakAuto,Agence DOUAI,5
Saint-Florent-sur-Cher,18400,6463,17.1,TransakAuto,Agence BOURGES,1
Entrelacs,73410,6461,17.8,AgenceAuto,annecy,2
Saint-Laurent-Blangy,62223,6459,1.7,Simplicicar,arras,4
Plonéour-Lanvern,29720,6452,15.1,AgenceAuto,quimper,2
Sciez,74140,6447,4.1,TransakAuto,Agence THONON-LES-BAINS,3
Louhans-Châteaurenaud,71500,6446,1.8,AgenceAuto,louhans,1
Péronnas,01960,6444,4.0,AgenceAuto,bourg-en-bresse,2
Frouard,54390,6444,13.3,Simplicicar,nancy,3
Bonsecours,76240,6442,5.9,TransakAuto,Agence ROUEN,2
Courthézon,84350,6426,6.6,TransakAuto,Agence ORANGE,2
La Tronche,38700,6424,4.9,TransakAuto,Agence GRENOBLE OUEST,3
Auneau-Bleury-Saint-Symphorien,28700,6419,14.2,TransakAuto,Agence RAMBOUILLET,1
Saint-Rémy,71100,6410,4.4,TransakAuto,Agence CHALON-SUR-SAONE,2
Mûrs-Erigné,49610,6408,9.1,AgenceAuto,angers,3
Jœuf,54240,6392,4.0,TransakAuto,Agence SAINT-DIZIER,2
Bréal-sous-Montfort,35310,6391,8.5,Simplicicar,rennes,3
Saint-Jorioz,74410,6390,8.9,AgenceAuto,annecy,3
Magnanville,78200,6383,3.6,TransakAuto,Agence MANTES-LA-JOLIE,4
Mehun-sur-Yèvre,18500,6380,10.9,TransakAuto,Agence BOURGES,1
Izon,33450,6374,10.5,TransakAuto,Agence LIBOURNE,3
Plescop,56890,6362,6.5,AgenceAuto,vannes,3
Ambilly,74100,6355,3.4,AgenceAuto,annemasse,6
Nandy,77176,6350,4.3,TransakAuto,Agence LIEUSAINT,3
Villemur-sur-Tarn,31340,6345,16.0,TransakAuto,Agence FRONTON,2
Bons-en-Chablais,74890,6343,6.4,TransakAuto,Agence THONON-LES-BAINS,3
Le Mesnil-le-Roi,78600,6332,5.9,TransakAuto,Agence SARTROUVILLE,11
Saint-Cyr-au-Mont-d'Or,69450,6327,5.2,AgenceAuto,lyon-nord,9
Dompierre-sur-Mer,17139,6315,1.3,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Champagne-au-Mont-d'Or,69410,6311,6.3,TransakAuto,Agence CALUIRE-ET-CUIRE,9
Thyez,74300,6309,4.6,TransakAuto,Agence SALLANCHES,2
Vaugneray,69670,6304,9.6,TransakAuto,Agence LYON OUEST,5
Pont-de-Chéruy,38230,6302,1.4,Simplicicar,nord-isere,5
Bonchamp-lès-Laval,53960,6302,8.6,TransakAuto,Agence LAVAL,1
Châtel-Guyon,63140,6299,19.3,TransakAuto,Agence CLERMONT FERRAND SUD,1
Milhaud,30540,6297,4.3,Simplicicar,nimes,4
Louvroil,59720,6294,2.3,TransakAuto,Agence MAUBEUGE,1
Esvres,37320,6294,6.8,Simplicicar,tours,3
Vouneuil-sous-Biard,86580,6290,3.4,TransakAuto,Agence POITIERS,1
Lallaing,59167,6287,9.6,TransakAuto,Agence DOUAI,1
Migné-Auxances,86440,6285,5.4,TransakAuto,Agence POITIERS,1
Mazan,84380,6285,16.9,TransakAuto,Agence L&rsquo;ISLE SUR LA SORGUE,1
Mornant,69440,6282,10.2,Simplicicar,lyon-ouest,3
Solliès-Toucas,83210,6269,14.5,TransakAuto,Agence TOULON,2
Noyal-sur-Vilaine,35530,6269,16.5,AgenceAuto,rennes-nord,2
Châtenoy-le-Royal,71880,6267,0.8,TransakAuto,Agence CHALON-SUR-SAONE,2
Pluneret,56400,6262,13.0,AgenceAuto,vannes,3
Saint-Pryvé-Saint-Mesmin,45750,6256,1.6,Simplicicar,orleans,2
Homécourt,54310,6254,2.9,TransakAuto,Agence SAINT-DIZIER,2
Mer,41500,6250,16.5,TransakAuto,Agence BLOIS,1
Jassans-Riottier,01480,6247,5.4,TransakAuto,Agence VILLEFRANCHE SUR SAONE,5
Bellevigny,85170,6240,17.7,TransakAuto,Agence LA ROCHE SUR YON,1
Saint-Martin-de-Seignanx,40390,6238,8.4,TransakAuto,Agence CAPBRETON,4
Cuges-les-Pins,13780,6236,11.7,Simplicicar,la-ciotat,1
Malaunay,76770,6221,7.1,TransakAuto,Agence ROUEN,2
Pont-Évêque,38780,6213,1.8,TransakAuto,Agence VIENNE,2
Saint-Marcel,71380,6211,2.9,AgenceAuto,chalon-sur-saone,2
Bruguières,31150,6202,4.9,Simplicicar,toulouse-nord,5
Horbourg-Wihr,68180,6199,5.1,Simplicicar,colmar,1
Saint-Quentin-Fallavier,38070,6189,12.8,TransakAuto,Agence BOURGOIN-JAILLEU,5
Saint-Symphorien-d'Ozon,69360,6186,8.8,Simplicicar,lyon-ouest,7
Menucourt,95180,6184,5.7,AgenceAuto,cergy-pontoise,6
Prades-le-Lez,34730,6184,9.8,AgenceAuto,montpellier-est,4
Thue et Mue,14210,6182,18.7,TransakAuto,Agence CAEN,1
Saint-Genest-Lerpt,42530,6181,5.8,TransakAuto,Agence SAINT ETIENNE,3
Saint-Marcel-lès-Valence,26320,6176,6.2,Simplicicar,valence,3
Feytiat,87220,6176,8.0,AgenceAuto,limoges,2
Saint-Mitre-les-Remparts,13920,6175,17.9,TransakAuto,Agence MARIGNANE,1
Octeville-sur-Mer,76930,6172,7.4,TransakAuto,Agence LE HAVRE,1
Franqueville-Saint-Pierre,76520,6171,9.7,TransakAuto,Agence ROUEN,2
Mallemort,13370,6166,13.2,Simplicicar,salon,1
Aurec-sur-Loire,43110,6164,18.9,TransakAuto,Agence SAINT ETIENNE,2
Marennes-Hiers-Brouage,17320,6163,19.5,Simplicicar,royan,1
Le Diamant,97223,6161,17.4,AgenceAuto,martinique,1
Saint-Denis-lès-Bourg,01000,6160,1.3,AgenceAuto,bourg-en-bresse,2
Fayence,83440,6157,18.7,TransakAuto,Agence DRAGUIGNAN,2
Oraison,04700,6155,15.7,TransakAuto,Agence MANOSQUE,1
Jonage,69330,6144,9.6,Simplicicar,st-priest,8
Dourges,62119,6139,8.3,TransakAuto,Agence DOUAI,4
Vendenheim,67550,6137,2.5,TransakAuto,Agence STRASBOURG NORD,3
Quint-Fonsegrives,31130,6133,4.4,AgenceAuto,toulouse-sud-est-labege,5
Palavas-les-Flots,34250,6133,7.8,Simplicicar,montpellier,5
Le Barcarès,66420,6109,17.4,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,1
Blainville-sur-Orne,14550,6106,4.2,TransakAuto,Agence CAEN,1
Ostricourt,59162,6097,9.5,TransakAuto,Agence DOUAI,4
Saint-Cannat,13760,6097,13.4,TransakAuto,Agence AIX EN PROVENCE NORD,5
Haute-Goulaine,44115,6095,13.7,AgenceAuto,nantes-sud-est,2
Pecquencourt,59146,6092,12.8,TransakAuto,Agence DOUAI,3
Fouquières-lès-Lens,62740,6087,6.0,TransakAuto,Agence LENS,6
Pierrefeu-du-Var,83390,6084,15.5,TransakAuto,Agence BRIGNOLES,1
Maule,78580,6083,6.9,AgenceAuto,epone,4
Hersin-Coupigny,62530,6082,6.8,TransakAuto,Agence BETHUNE,2
Noves,13550,6080,10.8,TransakAuto,Agence AVIGNON,2
Saint-Martin-le-Vinoux,38950,6078,4.1,TransakAuto,Agence GRENOBLE OUEST,3
Mesnils-sur-Iton,27160,6078,17.2,TransakAuto,Agence EVREUX,1
Esbly,77450,6072,4.2,AgenceAuto,chessy,4
Bois-le-Roi,77590,6072,15.1,TransakAuto,Agence FONTAINEBLEAU,2
Bouillargues,30230,6070,3.8,AgenceAuto,nimes,5
Saint-Jean-de-Boiseau,44640,6067,6.6,TransakAuto,Agence NANTES NORD,2
Beauvoisin,30640,6066,4.7,Simplicicar,vauvert,4
Gévezé,35850,6061,6.6,TransakAuto,Agence RENNES OUEST,3
Mondonville,31700,6060,7.2,TransakAuto,Agence TOULOUSE OUEST,6
Mortagne-sur-Sèvre,85290,6057,4.1,TransakAuto,Agence CHOLET,1
Luc-la-Primaube,12450,6046,7.7,TransakAuto,Agence RODEZ,3
Le Castellet,83330,6040,12.2,TransakAuto,Agence TOULON,2
Jouars-Pontchartrain,78760,6039,6.7,TransakAuto,Agence LES CLAYES SOUS BOIS,4
Pavilly,76570,6029,10.6,AgenceAuto,yerville,3
Marly-la-Ville,95670,6022,15.3,AgenceAuto,la-croix-verte,5
Trith-Saint-Léger,59125,6019,2.3,AgenceAuto,valenciennes,2
Commentry,03600,6017,15.3,TransakAuto,Agence MONTLUCON,1
Vexin-sur-Epte,27420,6015,8.5,AgenceAuto,vernon,3
Donzère,26290,6008,7.2,TransakAuto,Agence MONTELIMAR,2
Clapiers,34830,6006,7.3,AgenceAuto,montpellier-est,4
Saint-Mandrier-sur-Mer,83430,6000,8.7,TransakAuto,Agence TOULON,1
Noyelles-Godault,62950,5994,6.0,TransakAuto,Agence DOUAI,6
La Verrière,78320,5994,8.0,TransakAuto,Agence LES CLAYES SOUS BOIS,3
Fontenay-Trésigny,77610,5994,10.8,AgenceAuto,gretz-armainvilliers,2
Ablon-sur-Seine,94480,5988,3.2,TransakAuto,Agence THIAIS,10
Condé-en-Normandie,14110,5985,12.5,TransakAuto,Agence FLERS,1
Corbie,80800,5982,19.3,TransakAuto,Agence AMIENS,2
Aubignan,84810,5981,17.0,TransakAuto,Agence ORANGE,2
Benfeld,67230,5973,15.0,AgenceAuto,selestat,2
Marnaz,74460,5964,4.3,TransakAuto,Agence SALLANCHES,2
Roost-Warendin,59286,5956,6.2,TransakAuto,Agence DOUAI,4
Blanzy,71450,5955,3.2,AgenceAuto,montceau-les-mines,1
Saint-Denis-de-Pile,33910,5955,9.5,TransakAuto,Agence LIBOURNE,1
Villennes-sur-Seine,78670,5952,3.5,TransakAuto,Agence CHAMBOURCY,8
Loon-Plage,59279,5952,9.6,AgenceAuto,dunkerque,3
Vias,34450,5952,18.3,TransakAuto,Agence BEZIERS,1
Ciboure,64500,5951,9.5,TransakAuto,Agence BIDART &#8211; SAINT-JEAN-DE-LUZ,3
Quiévrechain,59920,5949,12.8,AgenceAuto,valenciennes,2
Sains-en-Gohelle,62114,5948,8.5,TransakAuto,Agence BETHUNE,4
Fleury-sur-Orne,14123,5941,8.6,TransakAuto,Agence CAEN,1
Le Puy-Sainte-Réparade,13610,5935,5.5,TransakAuto,Agence PERTUIS,4
Grand-Champ,56390,5929,12.8,TransakAuto,Agence VANNES,3
Nègrepelisse,82800,5917,0.8,AgenceAuto,montauban,2
Tain-l'Hermitage,26600,5915,17.5,Simplicicar,valence,2
Fontenilles,31470,5906,2.5,AgenceAuto,toulouse-fontenilles,3
Saint-Pierre-d'Irube,64990,5900,5.6,TransakAuto,Agence ANGLET,4
Saint-André-de-la-Roche,06730,5896,6.1,Simplicicar,nice,4
Bricquebec-en-Cotentin,50260,5893,19.8,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Aixe-sur-Vienne,87700,5890,11.1,AgenceAuto,limoges,2
Raon-l'Étape,88110,5886,17.5,AgenceAuto,saint-die-des-vosges,1
Saintry-sur-Seine,91250,5882,5.7,TransakAuto,Agence LIEUSAINT,5
Eschau,67114,5878,0.6,Simplicicar,strasbourg,3
Saint-Arnoult-en-Yvelines,78730,5875,9.9,TransakAuto,Agence RAMBOUILLET,1
Grand-Charmont,25200,5873,5.2,AgenceAuto,montbeliard,4
Douvrin,62138,5867,9.9,TransakAuto,Agence LENS,4
Riantec,56670,5865,6.1,TransakAuto,Agence LORIENT,2
La Wantzenau,67610,5864,8.8,TransakAuto,Agence STRASBOURG NORD,3
Oberhausbergen,67205,5857,3.5,AgenceAuto,strasbourg-nord,3
Le Poinçonnet,36330,5855,6.0,TransakAuto,Agence CHATEAUROUX,2
Seloncourt,25230,5854,5.0,AgenceAuto,montbeliard,4
Port-la-Nouvelle,11210,5852,16.2,TransakAuto,Agence NARBONNE,2
Chambourcy,78240,5847,7.1,TransakAuto,Agence CHAMBOURCY,9
Boé,47550,5846,6.9,TransakAuto,Agence AGEN,1
Ludres,54710,5843,0.4,TransakAuto,Agence NANCY,3
Saint-Martin-lez-Tatinghem,62500,5843,3.4,Simplicicar,saint-omer,1
Ventabren,13122,5839,8.8,TransakAuto,Agence AIX EN PROVENCE SUD,6
Garéoult,83136,5835,4.7,TransakAuto,Agence BRIGNOLES,1
Arradon,56610,5835,5.2,AgenceAuto,vannes,3
Kembs,68680,5834,10.8,AgenceAuto,saint-louis,4
Cessy,01170,5832,9.8,AgenceAuto,saint-genis-pouilly,3
Villabé,91100,5830,9.0,TransakAuto,Agence LIEUSAINT,5
Saint-Galmier,42330,5829,5.3,Simplicicar,moto-veauche,3
Dol-de-Bretagne,35120,5829,13.7,AgenceAuto,saint-malo,1
Sillingy,74330,5826,3.4,TransakAuto,Agence ANNECY,3
Annezin,62232,5825,6.1,TransakAuto,Agence BETHUNE,2
Buc,78530,5816,4.6,AgenceAuto,viroflay,8
Briec,29510,5816,12.8,TransakAuto,Agence QUIMPER,2
Nieul-sur-Mer,17137,5811,8.6,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Mouroux,77120,5810,19.3,TransakAuto,Agence MEAUX,1
Viry,74580,5809,13.4,TransakAuto,Agence GEX,2
Algrange,57440,5802,8.9,TransakAuto,Agence THIONVILLE,2
Roquefort-la-Bédoule,13830,5798,4.9,Simplicicar,la-ciotat,1
Sarrians,84260,5792,10.7,TransakAuto,Agence ORANGE,2
Saint-Laurent-de-Mure,69720,5791,8.8,Simplicicar,st-priest,6
Vergèze,30310,5788,4.0,Simplicicar,vauvert,5
Fenouillet,31150,5784,1.5,Simplicicar,toulouse-nord,6
Fegersheim,67640,5780,3.3,Simplicicar,strasbourg,3
Simiane-Collongue,13109,5780,9.2,TransakAuto,Agence AIX EN PROVENCE SUD,4
Magny-en-Vexin,95420,5779,13.8,TransakAuto,Agence GISORS,2
Le Palais-sur-Vienne,87410,5775,4.4,TransakAuto,Agence LIMOGES,2
Peypin,13124,5771,19.1,Simplicicar,la-ciotat,2
Erdre-en-Anjou,49220,5771,19.6,Simplicicar,angers,1
Mazé-Milon,49140,5761,16.4,AgenceAuto,angers,2
Ensuès-la-Redonne,13820,5757,8.1,TransakAuto,Agence MARIGNANE,2
Canéjan,33610,5756,10.0,TransakAuto,Agence CADAUJAC,4
Plouay,56240,5755,17.5,Simplicicar,lorient,1
Flines-lez-Raches,59148,5745,11.3,TransakAuto,Agence DOUAI,3
La Cadière-d'Azur,83740,5739,10.0,Simplicicar,la-ciotat,2
Coursan,11110,5737,10.5,Simplicicar,narbonne,3
Beaucouzé,49070,5732,0.9,Simplicicar,angers,3
Orgères,35230,5732,9.0,Simplicicar,rennes,2
Piolenc,84420,5718,7.8,TransakAuto,Agence ORANGE,2
Épernon,28230,5715,10.0,TransakAuto,Agence RAMBOUILLET,1
Saint-Michel-Chef-Chef,44730,5714,5.1,TransakAuto,Agence PORNIC,3
Saint-Martin-la-Pallu,86110,5713,16.7,TransakAuto,Agence POITIERS,1
Lannilis,29870,5709,16.5,TransakAuto,Agence BREST,3
Marolles-en-Hurepoix,91630,5708,16.3,AgenceAuto,athis-mons,4
Aimargues,30470,5705,7.4,Simplicicar,vauvert,4
Saint-Privat-des-Vieux,30340,5703,8.7,TransakAuto,Agence ALES,1
Carry-le-Rouet,13620,5702,10.2,TransakAuto,Agence MARIGNANE,2
Mondelange,57300,5699,14.5,AgenceAuto,metz,3
Saleilles,66280,5698,3.2,Simplicicar,perpignan,2
Montbonnot-Saint-Martin,38330,5698,8.3,TransakAuto,Agence GRENOBLE EST,3
Valdallière,14350,5696,14.6,TransakAuto,Agence FLERS,1
Marcheprime,33380,5696,16.8,TransakAuto,Agence ARCACHON,1
Mourenx,64150,5695,17.2,TransakAuto,Agence PAU,2
Ligné,44850,5693,14.2,TransakAuto,Agence ANCENIS,1
Altkirch,68130,5687,13.3,AgenceAuto,mulhouse-sud,1
Lèves,28300,5685,6.1,TransakAuto,Agence CHARTRES,1
Dainville,62000,5683,6.7,TransakAuto,Agence ARRAS,3
Longueau,80330,5680,8.8,AgenceAuto,amiens,2
Saint-Xandre,17138,5677,4.7,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Saint-Georges-d'Orques,34680,5676,7.8,TransakAuto,Agence MONTPELLIER,4
Gan,64290,5676,11.8,TransakAuto,Agence PAU,2
