ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Villejuif,94800,60183,6.0,TransakAuto,Agence THIAIS,11
Chambéry,73000,59964,2.2,Simplicicar,aix-les-bains,2
Niort,79000,59854,3.7,TransakAuto,Agence NIORT,2
Neuilly-sur-Seine,92200,59538,1.7,Simplicicar,paris-17eme,13
Sarcelles,95200,59173,6.1,TransakAuto,Agence ENGHIEN-LES-BAINS,7
Saint-André,97440,58885,2.4,TransakAuto,"Agence SAINT-ANDRE, REUNION",2
Clamart,92140,58576,6.3,AgenceAuto,viroflay,12
Lorient,56100,58329,0.5,TransakAuto,Agence LORIENT,2
Narbonne,11100,57587,4.7,TransakAuto,Agence NARBONNE,2
Bobigny,93000,56927,5.3,TransakAuto,Agence LE RAINCY,9
Meaux,77100,56905,3.5,TransakAuto,Agence MEAUX,3
Maisons-Alfort,94700,56799,3.5,TransakAuto,Agence SAINT MAUR,12
Vannes,56000,55790,1.3,AgenceAuto,vannes,3
Beauvais,60000,55550,1.2,TransakAuto,Agence BEAUVAIS,2
Saint-Louis,97421,54941,7.7,TransakAuto,"Agence ETANG-SALE, REUNION",1
La Roche-sur-Yon,85000,54849,8.2,TransakAuto,Agence LA ROCHE SUR YON,1
Chelles,77500,54620,2.3,TransakAuto,Agence CHELLES,6
Corbeil-Essonnes,91100,54471,7.7,TransakAuto,Agence LIEUSAINT,6
Cholet,49300,54404,3.9,TransakAuto,Agence CHOLET,1
Bayonne,64100,54306,3.1,TransakAuto,Agence ANGLET,4
Fontenay-sous-Bois,94120,53757,2.2,TransakAuto,Agence VINCENNES,10
Saint-Ouen-sur-Seine,93400,53615,4.9,Simplicicar,paris-17eme,10
Cagnes-sur-Mer,06800,53354,3.3,TransakAuto,Agence NICE OUEST,8
Vaulx-en-Velin,69120,53069,5.2,AgenceAuto,lyon,9
Épinay-sur-Seine,93800,52833,1.6,TransakAuto,Agence ENGHIEN-LES-BAINS,9
Saint-Quentin,02100,52813,1.1,AgenceAuto,saint-quentin,2
Sartrouville,78500,52763,2.1,TransakAuto,Agence SARTROUVILLE,11
Sevran,93270,52535,5.5,TransakAuto,Agence LE RAINCY,8
Arles,13104,51811,16.0,TransakAuto,Agence ARLES,1
Massy,91300,51729,1.8,AgenceAuto,palaiseau,9
Albi,81000,51290,3.8,TransakAuto,Agence ALBI,1
Gennevilliers,92230,50979,4.4,TransakAuto,Agence ENGHIEN-LES-BAINS,10
Saint-Herblain,44800,50973,1.3,TransakAuto,Agence NANTES NORD,2
Grasse,06130,50970,2.1,TransakAuto,Agence GRASSE,4
Bondy,93140,50595,2.4,TransakAuto,Agence LE RAINCY,8
Les Sables-d'Olonne,85100,49603,3.9,TransakAuto,Agence LES SABLES D&rsquo;OLONNE,1
Laval,53000,49400,3.5,TransakAuto,Agence LAVAL,1
Évreux,27000,49360,2.5,TransakAuto,Agence EVREUX,2
Saint-Priest,69800,49229,2.4,Simplicicar,st-priest,8
Suresnes,92150,48956,5.1,Simplicicar,paris-17eme,11
Martigues,13117,48298,15.6,TransakAuto,Agence MARIGNANE,2
Vincennes,94300,48193,0.4,TransakAuto,Agence VINCENNES,10
Aubagne,13400,47529,9.1,Simplicicar,la-ciotat,1
Saint-Malo,35400,47439,1.9,TransakAuto,Agence SAINT-MALO,2
Livry-Gargan,93190,47228,3.6,TransakAuto,Agence LE RAINCY,8
Blois,41000,47219,4.4,TransakAuto,Agence BLOIS,1
Rosny-sous-Bois,93110,47180,2.4,TransakAuto,Agence LE RAINCY,9
La Courneuve,93120,47167,7.4,TransakAuto,Agence ENGHIEN-LES-BAINS,9
Brive-la-Gaillarde,19100,47095,5.5,TransakAuto,Agence BRIVE-LA-GAILLARDE,2
Bastia,20200,46867,3.0,TransakAuto,Agence BASTIA,1
Talence,33400,46338,6.3,TransakAuto,Agence LAON,6
Meudon,92190,46334,4.5,AgenceAuto,viroflay,12
Montrouge,92120,46324,3.6,Simplicicar,paris-15,12
Alès,30100,46125,5.6,TransakAuto,Agence ALES,1
Carcassonne,11000,46080,3.0,Simplicicar,carcassonne,2
Melun,77000,45995,10.9,TransakAuto,Agence LIEUSAINT,2
Choisy-le-Roi,94600,45946,3.2,TransakAuto,Agence THIAIS,13
Saint-Germain-en-Laye,78100,45931,6.9,TransakAuto,Agence SARTROUVILLE,10
Belfort,90000,45912,4.1,AgenceAuto,belfort,3
Alfortville,94140,45531,4.9,TransakAuto,Agence SAINT MAUR,12
Noisy-le-Sec,93130,45510,3.9,TransakAuto,Agence LE RAINCY,8
Sète,34200,45337,5.0,AgenceAuto,sete,2
